Well Log Id,Well Comp Dt,Year,Well Depth Qt,Well Diameter Qt,Well Depth,elevation,elevation (ft),St Plane Xcoord Nr,St Plane Ycoord Nr,latitude,longitude
66703,4/18/1989,1989,82,6,32.8294,35,114.8294,1131068,852330,47.65214229,-122.5665886
66706,10/29/1988,1988,50,6,192.78216,74,242.78216,1135478,870667,47.70270492,-122.5506378
66747,6/4/1986,1986,88,6,26.8294,35,114.8294,1132310,848333,47.64127861,-122.5611281
66748,11/25/1983,1983,66,6,160.37796,69,226.37796,1133677,850959,47.64857229,-122.555863
66776,7/2/1980,1980,171,6,16.00788,57,187.00788,1145474,847948,47.64115422,-122.5077121
66818,2/10/1992,1992,120,6,7.95276,39,127.95276,1132260,845685,47.63401882,-122.5610502
66840,10/28/1991,1991,100,6,60.76116,49,160.76116,1132718,865452,47.68821769,-122.5612881
66866,1/9/1980,1980,155,6,64.81628,67,219.81628,1133544,844340,47.630425,-122.5557026
66880,11/9/1990,1990,265,6,-133.7664,40,131.2336,1135366,866703,47.69183484,-122.550674
66933,5/17/1985,1985,136,6,-27.73228,33,108.26772,1131959,865610,47.68859623,-122.5643851
66963,10/10/1979,1979,120,6,93.2546,65,213.2546,1142896,849337,47.64478016,-122.5183092
67010,1/29/1992,1992,167,6,-52.1706,35,114.8294,1132289,847008,47.63764627,-122.5610728
67025,10/15/1992,1992,323,6,-149.11548,53,173.88452,1134087,868058,47.69545654,-122.5560082
67030,7/15/1983,1983,159,6,50.97376,64,209.97376,1136791,834988,47.60502889,-122.5415583
67033,5/18/1990,1990,101,6,13.8294,35,114.8294,1125887,856392,47.66289907,-122.588036
67042,6/20/1984,1984,118,6,-49.10236,21,68.89764,1128352,848425,47.64124613,-122.5771861
67045,3/2/1979,1979,131,6,-58.82152,22,72.17848,1125869,855073,47.65928344,-122.5879674
67072,12/26/1989,1989,127,6,33.76116,49,160.76116,1128332,847099,47.63761112,-122.5771256
67076,10/3/1979,1979,292,6,-154.20472,42,137.79528,1134028,865422,47.68822919,-122.5559687
67090,7/18/1989,1989,138,6,22.76116,49,160.76116,1132718,865452,47.68821769,-122.5612881
67094,11/20/1973,1973,77,6,-67.15748,3,9.84252,1128232,833209,47.59954154,-122.5760484
67111,10/25/1988,1988,70,6,225.2756,90,295.2756,1134151,870710,47.70272807,-122.556029
67113,8/1/1986,1986,248,6,-120.04724,39,127.95276,1138185,871900,47.70627594,-122.5397786
67150,8/10/1983,1983,69,6,62.2336,40,131.2336,1132952,873409,47.71003801,-122.5611825
67157,3/6/1978,1978,174,6,-42.7664,40,131.2336,1132952,873409,47.71003801,-122.5611825
67176,7/10/1985,1985,583,6,-474.73228,33,108.26772,1136760,869303,47.69905854,-122.5452901
67177,3/30/1978,1978,70,6,103.88452,53,173.88452,1143316,867805,47.6954166,-122.518523
67178,5/9/1975,1975,55,6,27.021,25,82.021,1138083,869265,47.69904832,-122.5399159
67194,8/14/1985,1985,87,6,116.41208,62,203.41208,1134793,870036,47.70092703,-122.5533517
67217,4/14/1978,1978,86,6,64.91864,46,150.91864,1128395,851072,47.64850263,-122.5772945
