Number of Records,St Plane Xcoord Nr,St Plane Ycoord Nr,Src Lat,Src Lon,Well Comp Dt,Well Depth Qt,Well Diameter Qt,Well Log Id,Well Type Cd,latitude,elevation,longitude,elevation (ft),Well Depth
1,1133544,844340,47.630425,-122.555702595,1/5/1977,154.0,6.0,61901,W,47.630425,67,-122.555702595,219.81628,65.81628
1,1133838,857570,47.666699496999996,-122.55590899799999,8/27/1979,30.0,6.0,61910,W,47.666699496999996,50,-122.55590899799999,164.042,134.042
1,1134562,859518,47.672089136000004,-122.55317777299999,11/13/1978,44.0,6.0,61921,W,47.672089136000004,35,-122.55317777299999,114.82939999999999,70.82939999999999
1,1145888,863778,47.68456161100001,-122.50766755299999,7/9/1997,490.0,6.0,61932,W,47.68456161100001,23,-122.50766755299999,75.45932,-414.54068
1,1128374,849749,47.644875791000004,-122.577238293,3/6/1987,66.0,6.0,61950,W,47.644875791000004,6,-122.577238293,19.68504,-46.31496
1,1132821,870755,47.702756233,-122.561432699,6/21/1988,169.0,6.0,61962,W,47.702756233,56,-122.561432699,183.72704,14.727039999999988
1,1130177,831145,47.594025598,-122.56794906799999,12/26/1986,73.0,6.0,61973,W,47.594025598,70,-122.56794906799999,229.65879999999999,156.65879999999999
1,1129401,843098,47.626724436,-122.57236517700001,1/31/1989,208.0,6.0,61981,W,47.626724436,128,-122.57236517700001,419.94752,211.94752
1,1142098,870464,47.702617278999995,-122.52374358899999,11/13/1996,580.0,6.0,61992,W,47.702617278999995,35,-122.52374358899999,114.82939999999999,-465.17060000000004
1,1129817,855002,47.659374228000004,-122.571946723,6/24/1982,75.0,6.0,61994,W,47.659374228000004,54,-122.571946723,177.16536,102.16535999999999
1,1134832,842994,47.626828471,-122.55033939399999,4/14/1975,50.0,6.0,62008,W,47.626828471,57,-122.55033939399999,187.00788,137.00788
1,1137616,849549,47.644988821000005,-122.539741533,8/14/1987,118.0,6.0,62027,W,47.644988821000005,69,-122.539741533,226.37796,108.37796
1,1129404,844423,47.630355499,-122.57249417,11/1/1989,357.0,6.0,62045,W,47.630355499,128,-122.57249417,419.94752,62.94752
1,1127207,856371,47.66293718,-122.5826795,6/24/1981,78.0,6.0,62056,W,47.66293718,42,-122.5826795,137.79528,59.79527999999999
1,1128395,851072,47.648502633999996,-122.577294455,10/21/1981,143.0,6.0,62062,W,47.648502633999996,46,-122.577294455,150.91864,7.918640000000011
1,1134765,840350,47.619578374,-122.550332325,6/10/1979,115.0,6.0,62084,W,47.619578374,69,-122.550332325,226.37796,111.37796
1,1128861,831151,47.59394735,-122.57328086700001,2/14/1979,201.0,6.0,62088,W,47.59394735,1,-122.57328086700001,3.28084,-197.71916
1,1142525,837883,47.613366631999995,-122.51862473,9/5/1989,28.0,6.0,62091,W,47.613366631999995,52,-122.51862473,170.60368,142.60368
1,1128861,831151,47.59394735,-122.57328086700001,8/6/1983,91.0,8.0,62141,W,47.59394735,1,-122.57328086700001,3.28084,-87.71916
1,1143123,858579,47.670121656000006,-122.518347929,11/1/1979,94.0,6.0,62162,W,47.670121656000006,95,-122.518347929,311.6798,217.6798
1,1143809,836902,47.610768314,-122.513319716,6/17/1982,365.0,6.0,62201,W,47.610768314,44,-122.513319716,144.35696,-220.64304
1,1125887,856392,47.662899073,-122.58803600899999,1/16/1992,121.0,6.0,62207,W,47.662899073,35,-122.58803600899999,114.82939999999999,-6.170600000000007
1,1135279,861483,47.677524782,-122.55047619,2/22/1979,58.0,6.0,62220,W,47.677524782,40,-122.55047619,131.2336,73.2336
1,1129150,854358,47.657561474,-122.574583358,5/29/1979,153.0,6.0,62252,W,47.657561474,56,-122.574583358,183.72704,30.727039999999988
1,1127207,856371,47.66293718,-122.5826795,5/29/1979,158.0,6.0,62253,W,47.66293718,42,-122.5826795,137.79528,-20.20472000000001
1,1127189,855052,47.659321543999994,-122.58261121700001,7/14/1982,108.0,6.0,62254,W,47.659321543999994,47,-122.58261121700001,154.19948,46.199479999999994
1,1132334,849657,47.644908421000004,-122.561171082,6/26/1987,69.0,6.0,62265,W,47.644908421000004,48,-122.561171082,157.48032,88.48032
1,1131488,831138,47.594100504,-122.562637403,9/4/1984,80.0,6.0,62266,W,47.594100504,30,-122.562637403,98.4252,18.425200000000004
1,1131631,873456,47.710072061999995,-122.56655060899999,3/3/1989,100.0,6.0,62271,W,47.710072061999995,0,-122.56655060899999,0.0,-100.0
1,1131469,868139,47.695490979,-122.56664259700001,7/21/1989,138.0,6.0,62285,W,47.695490979,0,-122.56664259700001,0.0,-138.0
1,1134832,842994,47.626828471,-122.55033939399999,5/21/1990,60.0,6.0,62307,W,47.626828471,57,-122.55033939399999,187.00788,127.00788
1,1134118,869384,47.699092238,-122.556022649,6/16/1979,173.0,6.0,62319,W,47.699092238,60,-122.556022649,196.8504,23.850400000000008
1,1144208,849288,47.64473777600001,-122.51298404399999,4/12/1985,154.0,8.0,62350,W,47.64473777600001,61,-122.51298404399999,200.13124,46.13123999999999
1,1144208,849288,47.64473777600001,-122.51298404399999,6/4/1986,94.0,6.0,62355,W,47.64473777600001,61,-122.51298404399999,200.13124,106.13123999999999
1,1132480,856277,47.663059246,-122.561280724,6/19/1985,94.0,6.0,62357,W,47.663059246,66,-122.561280724,216.53544,122.53544
1,1133408,839058,47.615941106,-122.555695739,1/25/1979,242.0,6.0,62378,W,47.615941106,94,-122.555695739,308.39896,66.39895999999999
1,1142931,850651,47.648383346,-122.518303683,6/15/1987,78.0,6.0,62405,W,47.648383346,39,-122.518303683,127.95276,49.95276
1,1132191,843044,47.62677682899999,-122.561050096,11/21/1986,243.0,6.0,62415,W,47.62677682899999,102,-122.561050096,334.64567999999997,91.64567999999997
1,1145888,863778,47.68456161100001,-122.50766755299999,2/20/1991,53.0,6.0,62426,W,47.68456161100001,23,-122.50766755299999,75.45932,22.459320000000005
1,1137555,846897,47.637717292,-122.539710738,3/11/1991,96.0,6.0,62435,W,47.637717292,67,-122.539710738,219.81628,123.81628
1,1134765,840350,47.619578374,-122.550332325,6/12/1985,83.0,6.0,62436,W,47.619578374,69,-122.550332325,226.37796,143.37796
1,1134974,849609,47.644965483,-122.550461003,10/3/1988,95.0,6.0,62439,W,47.644965483,87,-122.550461003,285.43308,190.43308000000002
1,1140001,838854,47.615849985,-122.52895463899999,12/8/1986,295.0,6.0,62440,W,47.615849985,48,-122.52895463899999,157.48032,-137.51968
1,1133988,861517,47.677525847,-122.555717898,5/5/1989,255.0,6.0,62444,W,47.677525847,27,-122.555717898,88.58268,-166.41732000000002
1,1128332,847099,47.637611123999996,-122.577125564,10/24/1989,54.0,6.0,62447,W,47.637611123999996,49,-122.577125564,160.76116,106.76115999999999
1,1131488,831138,47.594100504,-122.562637403,7/27/1987,95.0,6.0,62453,W,47.594100504,30,-122.562637403,98.4252,3.425200000000004
1,1145125,837884,47.613551277,-122.508088101,1/28/1994,594.0,12.0,62494,W,47.613551277,55,-122.508088101,180.4462,-413.5538
1,1136265,848260,47.641360731999995,-122.545084214,4/13/1989,1053.0,8.0,62529,W,47.641360731999995,69,-122.545084214,226.37796,-826.62204
1,1137498,844254,47.630470683,-122.539664679,5/16/1983,136.0,8.0,62530,W,47.630470683,28,-122.539664679,91.86352,-44.136480000000006
1,1137498,844254,47.630470683,-122.539664679,5/26/1983,138.0,8.0,62531,W,47.630470683,28,-122.539664679,91.86352,-46.136480000000006
1,1137498,844254,47.630470683,-122.539664679,2/4/1988,144.0,8.0,62532,W,47.630470683,28,-122.539664679,91.86352,-52.136480000000006
1,1137498,844254,47.630470683,-122.539664679,10/15/1985,152.0,8.0,62533,W,47.630470683,28,-122.539664679,91.86352,-60.136480000000006
1,1140087,842830,47.626751523,-122.52902070200001,8/6/1976,149.0,12.0,62534,W,47.626751523,22,-122.52902070200001,72.17848,-76.82152
1,1133544,844340,47.630425,-122.555702595,12/29/1989,126.0,6.0,62542,W,47.630425,67,-122.555702595,219.81628,93.81628
1,1129694,849717,47.64488326,-122.57188241600001,11/28/1989,78.0,6.0,62547,W,47.64488326,27,-122.57188241600001,88.58268,10.582679999999996
1,1134274,873359,47.70999556100001,-122.55581006,6/15/1989,250.0,6.0,62566,W,47.70999556100001,88,-122.55581006,288.71392,38.71391999999997
1,1143160,859894,47.67372768,-122.518334363,5/10/1974,60.0,6.0,62569,W,47.67372768,99,-122.518334363,324.80316,264.80316
