Number of Records,St Plane Xcoord Nr,St Plane Ycoord Nr,Src Lat,Src Lon,Well Comp Dt,Well Depth Qt,Well Diameter Qt,Well Log Id,Well Type Cd
1,1129845,856325,47.663001551,-122.571974147,11/3/1986,87,6,65507,W
1,1128889,832512,47.597678921,-122.573312395,11/10/1989,129,6,65512,W
1,1134181,872037,47.706366419,-122.556047694,11/24/1978,336,6,65520,W
1,1144591,828091,47.586677689,-122.509241015,9/16/1988,182,6,65540,W
1,1139399,833579,47.601352298,-122.530843845,6/6/1985,117,6,65550,W
1,1134181,872037,47.706366419,-122.556047694,10/10/1986,205,6,65611,W
1,1133479,841699,47.623183280,-122.555687007,2/17/1993,380,6,65642,W
1,1144248,850591,47.648311172,-122.512956714,12/26/1990,156,6,65655,W
1,1136237,846936,47.637730623,-122.545058526,8/6/1988,115,,65663,W
1,1127169,853731,47.655700276,-122.582550840,3/13/1987,56,6,65696,W
1,1132845,872083,47.706396892,-122.561476197,9/3/1977,45,6,65699,W
1,1137702,853517,47.655868272,-122.539809000,1/3/1991,228,6,65722,W
1,1130177,831145,47.594025598,-122.567949068,8/29/1980,142,6,65735,W
1,1132798,869426,47.699112899,-122.561385041,5/19/1976,168,6,65754,W
1,1144499,837402,47.612186724,-122.510575227,6/3/1978,120,6,65760,W
1,1141366,840112,47.619393416,-122.523553450,4/3/1978,210,6,65779,W
1,1134922,846960,47.637702819,-122.550392573,5/4/1982,57,6,65782,W
1,1128352,848425,47.641246129,-122.577186086,3/21/1985,126,6,65804,W
1,1136208,845611,47.634097696,-122.545036791,2/10/1980,80,6,65809,W
1,1143342,869124,47.699032768,-122.518554499,6/26/1992,124,6,65828,W
1,1129999,860283,47.673858378,-122.571771269,4/25/1977,227,6,65853,W
1,1144208,849288,47.644737776,-122.512984044,3/31/1988,109,6,65863,W
1,1129402,841775,47.623099136,-122.572220201,1/18/1989,156,6,65890,W
1,1132821,870755,47.702756233,-122.561432699,2/19/1985,139,6,65891,W
1,1145428,846659,47.637618755,-122.507765559,2/2/1983,165,6,65892,W
1,1141323,838801,47.615797833,-122.523591381,11/23/1988,154,6,65893,W
1,1129763,852358,47.652125187,-122.571883990,8/18/1978,58,6,65936,W
1,1128352,848425,47.641246129,-122.577186086,3/27/1984,93,6,65937,W
1,1132776,868093,47.695458668,-122.561332907,9/9/1986,240,6,65984,W
1,1144591,828091,47.586677689,-122.509241015,10/5/1979,143,6,66001,W
1,1144248,850591,47.648311172,-122.512956714,11/30/1988,149,6,66020,W
1,1138876,846845,47.637668304,-122.534349429,10/15/1980,69,6,66047,W
1,1144499,837402,47.612186724,-122.510575227,10/17/1983,205,6,66055,W
1,1135010,875283,47.715320170,-122.553025343,6/5/1978,77,6,66065,W
