well_log_id,well_depth_qt,well_diameter_qt,well_comp_dt,well_type_cd,ST_PLANE_XCOORD_NR,ST_PLANE_YCOORD_NR,srcLat,srcLon
70249,104,6,3/1/1983,W,1064945,806983,47.52283211,-122.8292915
70250,85,6,8/18/1987,W,1054707,821869,47.56278493,-122.8725181
70251,70,6,1/12/1982,W,1109607,887309,47.7464142,-122.6575012
70252,84,6,7/2/1982,W,1108645,858283,47.66680871,-122.6581821
70253,151,6,7/20/1981,W,1086455,861529,47.67400409,-122.7485673
70254,90,6,8/16/1985,W,1130816,889221,47.75321146,-122.5715407
70255,83,6,4/8/1992,W,1119106,896202,47.77148705,-122.619882
70258,70,6,6/25/1989,W,1112476,854183,47.65586035,-122.64219
70261,256,6,10/7/1987,W,1141382,932712,47.87313088,-122.5331649
70270,158,6,8/31/1989,W,1082261,852343,47.64850523,-122.7645115
70276,265,6,9/18/1979,W,1133892,902245,47.78911888,-122.5604251
70277,133,6,4/15/1991,W,1146138,912632,47.81844606,-122.5117104
70279,401,6,3/8/1991,W,1146138,912632,47.81844606,-122.5117104
70292,35,42,1/20/1992,W,1119089,853929,47.65565352,-122.6153421
70295,248,6,2/8/1978,W,1114518,873934,47.71013233,-122.6360782
70297,41,6,11/29/1984,W,1129178,813861,47.5465897,-122.570158
70298,130,6,4/1/1990,W,1108944,910941,47.81111531,-122.6628278
70300,68,6,11/4/1976,W,1070041,819160,47.55660957,-122.8101198
70303,125,6,11/21/1980,W,1132968,917045,47.8296048,-122.5657583
70305,97,6,11/27/1987,W,1048151,820617,47.55881089,-122.8989039
70306,94,6,5/14/1982,W,1106170,904414,47.79302286,-122.6733792
70309,358,6,3/8/1979,W,1114049,904266,47.79320795,-122.641326
70312,493,6,10/8/1987,W,1097737,812320,47.54003563,-122.6972342
70320,90,6,8/21/1981,W,1113576,846181,47.63401524,-122.6368494
70323,217,8,7/30/1986,W,1141278,837490,47.6122021,-122.5236374
70326,77,6,10/15/1991,W,1109832,854271,47.65590418,-122.6529228
70328,157,6,12/7/1987,W,1136791,834988,47.60502889,-122.5415583
70329,125,8,11/10/1978,W,1063906,851498,47.64472192,-122.8388356
